#Bottom-up search
#2022-1-30 13:56:42 --  seed: 1646168895 	max_stride: auto (2%) 	arc_start: -2 	arc_end: -2 	closure: H
# index Adet_1 Adet_2	 start end length
155 	3 7	3_1	 122 325 203 	
156 	3 7	3_1	 125 335 210 	
157 	3 7	3_1	 126 331 205 	
158 	3 7	3_1	 127 334 207 	
159 	3 7	3_1	 118 338 220 	
160 	3 7	3_1	 116 335 219 	
161 	3 7	3_1	 113 333 220 	
162 	3 7	3_1	 114 337 223 	
163 	3 7	3_1	 121 338 217 	
164 	3 7	3_1	 120 332 212 	
165 	3 7	3_1	 120 339 219 	
166 	3 7	3_1	 121 342 221 	
167 	3 7	3_1	 126 337 211 	
168 	3 7	3_1	 145 348 203 	
169 	3 7	3_1	 120 338 218 	
170 	3 7	3_1	 125 338 213 	
171 	3 7	3_1	 123 334 211 	
172 	3 7	3_1	 119 340 221 	
173 	3 7	3_1	 124 339 215 	
174 	3 7	3_1	 131 334 203 	
175 	3 7	3_1	 129 342 213 	
176 	3 7	3_1	 114 335 221 	
177 	3 7	3_1	 113 334 221 	
178 	3 7	3_1	 112 339 227 	
179 	3 7	3_1	 102 337 235 	
180 	3 7	3_1	 117 326 209 	
181 	3 7	3_1	 114 332 218 	
182 	3 7	3_1	 105 321 216 	
183 	3 7	3_1	 98 319 221 	
184 	3 7	3_1	 96 324 228 	
185 	3 7	3_1	 98 324 226 	
186 	3 7	3_1	 90 330 240 	
187 	3 7	3_1	 93 330 237 	
188 	3 7	3_1	 95 339 244 	
189 	3 7	3_1	 92 348 256 	
190 	3 7	3_1	 94 338 244 	
191 	3 7	3_1	 99 342 243 	
192 	3 7	3_1	 95 340 245 	
193 	3 7	3_1	 105 334 229 	
194 	3 7	3_1	 98 339 241 	
195 	3 7	3_1	 107 335 228 	
196 	3 7	3_1	 104 338 234 	
197 	3 7	3_1	 104 348 244 	
198 	3 7	3_1	 103 345 242 	
199 	3 7	3_1	 103 352 249 	
200 	3 7	3_1	 105 353 248 	
201 	3 7	3_1	 113 346 233 	
202 	3 7	3_1	 108 343 235 	
203 	3 7	3_1	 104 348 244 	
204 	3 7	3_1	 107 348 241 	
205 	3 7	3_1	 105 346 241 	
206 	3 7	3_1	 105 346 241 	
207 	3 7	3_1	 112 345 233 	
208 	3 7	3_1	 108 344 236 	
209 	3 7	3_1	 117 350 233 	
210 	3 7	3_1	 113 348 235 	
211 	3 7	3_1	 112 353 241 	
212 	3 7	3_1	 125 348 223 	
213 	3 7	3_1	 132 353 221 		3 7	3_1	 139 360 221 	
214 	3 7	3_1	 127 349 222 	
215 	3 7	3_1	 133 363 230 	
216 	3 7	3_1	 127 352 225 	
217 	3 7	3_1	 130 354 224 	
218 	3 7	3_1	 128 356 228 	
219 	3 7	3_1	 126 348 222 	
220 	3 7	3_1	 136 354 218 	
221 	3 7	3_1	 127 347 220 	
222 	3 7	3_1	 128 341 213 	
223 	3 7	3_1	 136 346 210 	
224 	3 7	3_1	 137 349 212 	
225 	3 7	3_1	 122 342 220 	
226 	3 7	3_1	 124 337 213 	
227 	3 7	3_1	 121 346 225 	
228 	3 7	3_1	 114 349 235 	
229 	3 7	3_1	 128 377 249 	
230 	3 7	3_1	 120 352 232 	
231 	3 7	3_1	 125 359 234 	
232 	3 7	3_1	 128 362 234 	
233 	3 7	3_1	 124 373 249 	
234 	3 7	3_1	 127 366 239 	
235 	3 7	3_1	 123 370 247 	
236 	3 7	3_1	 123 373 250 	
