#Bottom-up search
#2022-1-30 13:56:42 --  seed: 1646168895 	max_stride: auto (2%) 	arc_start: -2 	arc_end: -2 	closure: H
# index Adet_1 Adet_2	 start end length
674 	3 7	3_1	 199 412 213 		3 7	3_1	 206 419 213 	
675 	3 7	3_1	 204 421 217 	
676 	3 7	3_1	 209 420 211 	
677 	3 7	3_1	 204 413 209 	
678 	3 7	3_1	 202 409 207 	
679 	3 7	3_1	 202 401 199 	
680 	3 7	3_1	 205 412 207 	
681 	3 7	3_1	 197 415 218 	
682 	3 7	3_1	 198 408 210 	
683 	3 7	3_1	 192 419 227 	
684 	3 7	3_1	 195 418 223 	
685 	3 7	3_1	 199 415 216 	
686 	3 7	3_1	 195 410 215 	
687 	3 7	3_1	 201 415 214 	
688 	3 7	3_1	 204 413 209 	
689 	3 7	3_1	 200 418 218 	
690 	3 7	3_1	 203 419 216 	
691 	3 7	3_1	 201 413 212 	
692 	3 7	3_1	 197 415 218 	
693 	3 7	3_1	 195 412 217 		3 7	3_1	 203 420 217 	
694 	3 7	3_1	 192 409 217 	
695 	3 7	3_1	 195 408 213 	
696 	3 7	3_1	 195 409 214 	
697 	3 7	3_1	 205 411 206 	
698 	3 7	3_1	 201 410 209 	
699 	3 7	3_1	 199 407 208 	
700 	3 7	3_1	 198 411 213 	
701 	3 7	3_1	 207 412 205 	
702 	3 7	3_1	 196 414 218 		3 7	3_1	 204 422 218 	
703 	3 7	3_1	 196 410 214 	
704 	3 7	3_1	 304 453 149 	
705 	3 7	3_1	 199 407 208 	
706 	3 7	3_1	 209 395 186 	
707 	3 7	3_1	 202 399 197 	
708 	3 7	3_1	 202 401 199 	
709 	3 7	3_1	 196 402 206 	
710 	3 7	3_1	 188 387 199 	
711 	3 7	3_1	 201 397 196 	
712 	3 7	3_1	 198 391 193 	
713 	3 7	3_1	 192 404 212 	
714 	3 7	3_1	 204 408 204 	
715 	3 7	3_1	 204 412 208 	
716 	3 7	3_1	 195 410 215 	
717 	3 7	3_1	 201 409 208 	
718 	3 7	3_1	 206 415 209 	
719 	3 7	3_1	 197 408 211 	
720 	3 7	3_1	 198 416 218 	
721 	3 7	3_1	 185 418 233 	
722 	3 7	3_1	 194 420 226 	
723 	3 7	3_1	 191 422 231 	
724 	3 7	3_1	 184 409 225 	
725 	3 7	3_1	 189 419 230 	
726 	3 7	3_1	 190 420 230 	
727 	3 7	3_1	 196 425 229 	
728 	3 7	3_1	 194 423 229 	
729 	3 7	3_1	 201 419 218 	
730 	3 7	3_1	 198 418 220 	
731 	3 7	3_1	 199 417 218 	
732 	3 7	3_1	 202 429 227 	
733 	3 7	3_1	 200 422 222 	
734 	3 7	3_1	 193 423 230 	
735 	3 7	3_1	 201 421 220 	
736 	3 7	3_1	 198 413 215 	
737 	3 7	3_1	 188 412 224 	
738 	3 7	3_1	 188 408 220 	
739 	3 7	3_1	 188 404 216 	
740 	3 7	3_1	 195 409 214 	
741 	3 7	3_1	 199 418 219 	
742 	3 7	3_1	 197 407 210 	
743 	3 7	3_1	 201 413 212 	
744 	3 7	3_1	 209 409 200 	
745 	3 7	3_1	 201 406 205 	
746 	3 7	3_1	 204 413 209 	
747 	3 7	3_1	 213 409 196 	
748 	3 7	3_1	 206 416 210 	
749 	3 7	3_1	 192 411 219 	
750 	3 7	3_1	 198 409 211 	
751 	3 7	3_1	 199 411 212 	
752 	3 7	3_1	 201 412 211 	
753 	3 7	3_1	 200 408 208 	
754 	3 7	3_1	 197 405 208 	
755 	3 7	3_1	 203 414 211 	
756 	3 7	3_1	 190 415 225 	
757 	3 7	3_1	 204 417 213 	
758 	3 7	3_1	 206 413 207 	
759 	3 7	3_1	 192 423 231 	
760 	3 7	3_1	 200 413 213 	
761 	3 7	3_1	 212 406 194 	
762 	3 7	3_1	 197 418 221 	
763 	3 7	3_1	 204 407 203 	
764 	3 7	3_1	 202 401 199 	
765 	3 7	3_1	 192 399 207 	
766 	3 7	3_1	 185 406 221 	
767 	3 7	3_1	 181 405 224 	
768 	3 7	3_1	 184 416 232 	
769 	3 7	3_1	 187 417 230 	
770 	3 7	3_1	 196 413 217 	
771 	3 7	3_1	 200 426 226 	
772 	3 7	3_1	 193 431 238 	
773 	3 7	3_1	 196 432 236 	
774 	3 7	3_1	 194 434 240 	
775 	3 7	3_1	 188 426 238 	
776 	3 7	3_1	 191 422 231 	
777 	3 7	3_1	 205 429 224 	
778 	3 7	3_1	 204 426 222 	
779 	3 7	3_1	 196 425 229 	
780 	3 7	3_1	 185 432 247 	
781 	3 7	3_1	 177 427 250 	
782 	3 7	3_1	 182 430 248 	
783 	3 7	3_1	 177 431 254 	
784 	3 7	3_1	 181 426 245 	
785 	3 7	3_1	 353 103 250 	
786 	3 7	3_1	 421 101 180 	
787 	3 7	3_1	 164 431 267 		3 7	3_1	 171 438 267 	
788 	3 7	3_1	 170 445 275 	
789 	3 7	3_1	 161 427 266 	
790 	3 7	3_1	 190 435 245 	
791 	3 7	3_1	 157 437 280 	
792 	3 7	3_1	 159 440 281 	
793 	3 7	3_1	 179 445 266 	
794 	3 7	3_1	 159 439 280 	
795 	3 7	3_1	 183 435 252 	
796 	3 7	3_1	 167 438 271 	
797 	3 7	3_1	 157 436 279 	
798 	3 7	3_1	 151 437 286 	
799 	3 7	3_1	 157 441 284 	
800 	3 7	3_1	 171 449 278 	
801 	3 7	3_1	 164 432 268 	
802 	3 7	3_1	 177 433 256 	
803 	3 7	3_1	 171 439 268 	
804 	3 7	3_1	 176 430 254 	
805 	3 7	3_1	 172 425 253 	
806 	3 7	3_1	 170 423 253 	
807 	3 7	3_1	 172 421 249 	
808 	3 7	3_1	 170 428 258 	
809 	3 7	3_1	 179 427 248 	
810 	3 7	3_1	 180 423 243 	
811 	3 7	3_1	 183 410 227 	
812 	3 7	3_1	 182 419 237 	
813 	3 7	3_1	 183 417 234 	
814 	3 7	3_1	 184 421 237 	
815 	3 7	3_1	 180 415 235 	
816 	3 7	3_1	 180 409 229 	
817 	3 7	3_1	 174 413 239 	
818 	3 7	3_1	 178 421 243 	
819 	3 7	3_1	 174 418 244 	
820 	3 7	3_1	 174 422 248 	
821 	3 7	3_1	 163 420 257 	
822 	3 7	3_1	 174 413 239 	
823 	3 7	3_1	 170 419 249 	
824 	3 7	3_1	 175 415 240 	
825 	3 7	3_1	 173 410 237 	
826 	3 7	3_1	 172 421 249 	
827 	3 7	3_1	 179 417 238 	
828 	3 7	3_1	 180 411 231 	
829 	3 7	3_1	 172 420 248 	
830 	3 7	3_1	 162 405 243 	
831 	3 7	3_1	 168 408 240 	
832 	3 7	3_1	 165 416 251 	
833 	3 7	3_1	 162 410 248 	
834 	3 7	3_1	 161 405 244 	
835 	3 7	3_1	 165 414 249 	
836 	3 7	3_1	 161 406 245 	
837 	3 7	3_1	 167 405 238 	
838 	3 7	3_1	 166 413 247 	
839 	3 7	3_1	 172 411 239 	
840 	3 7	3_1	 178 416 238 	
841 	3 7	3_1	 176 418 242 	
842 	3 7	3_1	 179 415 236 	
843 	3 7	3_1	 179 416 237 	
844 	3 7	3_1	 182 406 224 	
845 	3 7	3_1	 185 421 236 	
846 	3 7	3_1	 183 414 231 	
847 	3 7	3_1	 179 419 240 	
848 	3 7	3_1	 177 419 242 	
849 	3 7	3_1	 178 420 242 	
850 	3 7	3_1	 173 430 257 	
851 	3 7	3_1	 178 431 253 	
852 	3 7	3_1	 183 435 252 	
853 	3 7	3_1	 181 424 243 	
854 	3 7	3_1	 180 418 238 	
855 	3 7	3_1	 180 414 234 	
856 	3 7	3_1	 182 421 239 	
857 	3 7	3_1	 179 419 240 	
858 	3 7	3_1	 181 423 242 	
859 	3 7	3_1	 183 423 240 	
860 	3 7	3_1	 180 422 242 	
861 	3 7	3_1	 179 419 240 	
862 	3 7	3_1	 180 414 234 	
863 	3 7	3_1	 182 413 231 	
864 	3 7	3_1	 179 405 226 	
865 	3 7	3_1	 192 400 208 	
866 	3 7	3_1	 194 393 199 	
867 	3 7	3_1	 186 394 208 	
868 	3 7	3_1	 196 390 194 	
869 	3 7	3_1	 192 388 196 	
870 	3 7	3_1	 197 390 193 	
871 	3 7	3_1	 196 402 206 	
872 	3 7	3_1	 202 392 190 	
873 	3 7	3_1	 210 396 186 	
874 	3 7	3_1	 204 402 198 	
875 	3 7	3_1	 208 408 200 	
876 	3 7	3_1	 193 405 212 	
877 	3 7	3_1	 209 405 196 	
878 	3 7	3_1	 205 404 199 	
879 	3 7	3_1	 203 406 203 	
880 	3 7	3_1	 194 433 239 	
881 	3 7	3_1	 161 405 244 	
882 	3 7	3_1	 186 433 247 	
883 	3 7	3_1	 180 420 240 	
884 	3 7	3_1	 184 412 228 	
885 	3 7	3_1	 189 442 253 	
886 	3 7	3_1	 181 445 264 	
887 	3 7	3_1	 175 443 268 	
888 	3 7	3_1	 180 441 261 	
889 	3 7	3_1	 174 432 258 	
890 	3 7	3_1	 182 422 240 	
891 	3 7	3_1	 185 426 241 	
892 	3 7	3_1	 184 432 248 	
893 	3 7	3_1	 196 429 233 	
894 	3 7	3_1	 191 445 254 	
895 	3 7	3_1	 198 437 239 	
896 	3 7	3_1	 203 433 230 	
897 	3 7	3_1	 198 423 225 	
898 	3 7	3_1	 199 430 231 	
899 	3 7	3_1	 205 426 221 	
900 	3 7	3_1	 202 419 217 	
901 	3 7	3_1	 200 408 208 	
902 	3 7	3_1	 208 421 213 	
903 	3 7	3_1	 205 420 215 	
904 	3 7	3_1	 207 413 206 	
905 	3 7	3_1	 210 405 195 	
906 	3 7	3_1	 222 415 193 	
907 	3 7	3_1	 219 418 199 	
908 	3 7	3_1	 214 417 203 	
909 	3 7	3_1	 221 412 191 	
910 	3 7	3_1	 217 418 201 	
911 	3 7	3_1	 218 415 197 	
912 	3 7	3_1	 223 437 214 	
913 	3 7	3_1	 221 442 221 	
914 	3 7	3_1	 222 434 212 	
915 	3 7	3_1	 220 412 192 	
916 	3 7	3_1	 205 409 204 	
917 	3 7	3_1	 218 427 209 	
918 	3 7	3_1	 219 431 212 	
919 	3 7	3_1	 214 430 216 	
920 	3 7	3_1	 206 430 224 	
921 	3 7	3_1	 205 421 216 	
922 	3 7	3_1	 203 418 215 	
923 	3 7	3_1	 209 423 214 	
924 	3 7	3_1	 205 425 220 	
925 	3 7	3_1	 204 422 218 	
926 	3 7	3_1	 208 422 214 	
927 	3 7	3_1	 209 418 209 	
928 	3 7	3_1	 207 414 207 	
929 	3 7	3_1	 208 408 200 	
930 	3 7	3_1	 207 416 209 	
931 	3 7	3_1	 195 409 214 	
932 	3 7	3_1	 195 410 215 	
933 	3 7	3_1	 195 405 210 	
934 	3 7	3_1	 199 399 200 	
935 	3 7	3_1	 195 405 210 	
936 	3 7	3_1	 191 406 215 	
937 	3 7	3_1	 198 410 212 	
938 	3 7	3_1	 198 410 212 	
939 	3 7	3_1	 201 408 207 	
940 	3 7	3_1	 207 409 202 	
941 	3 7	3_1	 199 410 211 	
942 	3 7	3_1	 202 412 210 	
943 	3 7	3_1	 206 408 202 	
944 	3 7	3_1	 197 417 220 	
945 	3 7	3_1	 200 415 215 	
946 	3 7	3_1	 199 417 218 	
947 	3 7	3_1	 198 409 211 	
948 	3 7	3_1	 198 412 214 	
949 	3 7	3_1	 195 411 216 	
950 	3 7	3_1	 197 408 211 	
951 	3 7	3_1	 192 400 208 	
952 	3 7	3_1	 201 405 204 	
953 	3 7	3_1	 199 401 202 	
954 	3 7	3_1	 204 404 200 	
955 	3 7	3_1	 209 407 198 	
956 	3 7	3_1	 208 409 201 	
957 	3 7	3_1	 206 404 198 	
958 	3 7	3_1	 201 397 196 	
959 	3 7	3_1	 196 399 203 	
960 	3 7	3_1	 202 405 203 	
961 	3 7	3_1	 200 408 208 	
962 	3 7	3_1	 202 413 211 	
963 	3 7	3_1	 207 412 205 	
964 	3 7	3_1	 204 408 204 	
965 	3 7	3_1	 207 410 203 	
966 	3 7	3_1	 212 417 205 	
967 	3 7	3_1	 209 418 209 	
968 	3 7	3_1	 207 424 217 	
969 	3 7	3_1	 208 433 225 	
970 	3 7	3_1	 201 423 222 	
971 	3 7	3_1	 210 421 211 	
972 	3 7	3_1	 205 424 219 	
973 	3 7	3_1	 207 423 216 	
974 	3 7	3_1	 203 425 222 	
975 	3 7	3_1	 192 423 231 		3 7	3_1	 200 431 231 	
976 	3 7	3_1	 205 426 221 	
977 	3 7	3_1	 199 432 233 	
978 	3 7	3_1	 139 339 200 	
979 	3 7	3_1	 207 418 211 	
980 	3 7	3_1	 200 418 218 	
981 	3 7	3_1	 156 338 182 	
982 	3 7	3_1	 189 338 149 	
983 	3 7	3_1	 199 407 208 	
984 	3 7	3_1	 200 415 215 	
985 	3 7	3_1	 198 409 211 	
986 	3 7	3_1	 199 407 208 	
987 	3 7	3_1	 194 410 216 	
988 	3 7	3_1	 194 411 217 	
989 	3 7	3_1	 189 408 219 		3 7	3_1	 198 417 219 	
990 	3 7	3_1	 199 416 217 	
991 	3 7	3_1	 201 420 219 	
992 	3 7	3_1	 199 426 227 	
993 	3 7	3_1	 188 431 243 	
994 	3 7	3_1	 204 421 217 	
995 	3 7	3_1	 181 405 224 	
996 	3 7	3_1	 190 425 235 	
997 	3 7	3_1	 194 409 215 	
998 	3 7	3_1	 192 408 216 	
999 	3 7	3_1	 185 427 242 		3 7	3_1	 193 435 242 	
