#Timestep Max1DUnsignedWrithe ArgMax1DUnsignedWrithe Max3DLocalWrithe ArgMax3DLocalWrithe 
853 0.380794 443 4.7126 330
854 1.28992 56 5.01884 320
855 0.967058 51 4.3751 320
856 0.581278 51 4.49094 317
857 0.626847 52 4.60065 307
858 1.1242 53 5.23491 304
859 1.24188 49 5.14483 320
860 1.31797 50 4.36 323
861 1.01584 52 4.70082 315
862 0.939564 43 4.81313 315
863 1.21524 41 4.11577 317
864 1.47895 35 3.80752 321
865 1.50706 34 4.70069 321
866 1.56639 36 4.38473 318
867 1.28475 47 3.8481 322
868 1.56294 40 3.83421 320
869 1.55015 44 4.73378 317
870 1.42273 44 4.46636 316
871 0.945897 43 4.1557 316
872 1.02806 37 4.85107 204
873 0.738281 364 4.5159 206
874 0.80298 42 4.55693 322
875 0.919971 50 4.48334 197
876 0.967775 46 5.88893 196
877 1.17258 44 5.09168 309
878 1.41324 374 5.55738 389
879 2.33697 365 6.64899 384
880 1.81768 365 5.26249 321
881 1.66281 364 6.11837 389
882 2.55736 365 6.7976 320
883 1.61796 364 5.58708 397
884 1.79246 366 5.95622 388
885 2.21966 373 7.22136 359
886 1.50458 365 5.93842 389
887 1.94549 363 6.67031 391
888 1.69137 366 6.16126 322
889 2.08925 366 6.18721 319
890 1.78173 370 5.28833 324
891 1.42975 369 5.45081 324
892 1.96224 373 6.17341 411
893 1.31165 373 5.29318 413
894 1.16355 369 5.1619 321
895 0.613206 51 4.36922 317
896 0.410073 300 5.07034 314
897 0.645974 374 4.91334 312
898 0.724003 371 4.93017 309
899 0.553613 367 5.10416 312
900 0.597833 374 4.33509 317
901 0.669892 384 4.82102 188
902 0.645415 375 4.05796 422
903 0.443747 380 4.44365 317
904 0.52934 378 4.35282 318
905 0.481541 361 4.52248 198
906 0.493173 378 4.47898 314
907 0.552922 363 4.40076 316
908 0.56773 382 4.82342 418
909 0.436494 389 4.66311 421
910 0.471812 375 4.78698 418
911 0.490988 249 4.54933 204
912 0.347152 381 4.17902 419
913 0.374808 247 4.70484 321
914 0.708933 242 4.97021 216
915 0.514537 375 5.11044 203
916 0.66481 241 5.27626 206
917 0.464642 295 5.23818 413
918 0.452744 483 5.76782 415
919 0.513246 301 5.14385 422
920 0.603728 309 5.82476 415
921 0.72617 370 5.14685 409
922 0.977304 367 6.28496 410
923 0.740339 464 5.69525 407
924 0.678641 234 5.17456 410
925 0.595035 371 5.46983 407
926 0.529329 371 5.04487 409
927 0.536105 440 4.93628 407
928 0.980634 364 5.46884 402
929 1.14727 368 5.46338 426
930 0.928372 8 5.0793 411
931 1.07328 362 5.22726 316
932 1.27631 362 5.5702 407
933 1.02508 7 4.87506 403
934 1.21703 355 4.94603 204
935 1.08232 355 4.70555 313
936 1.30613 364 4.66914 318
937 0.810333 360 3.75092 197
938 0.686563 5 3.66334 407
939 1.06467 258 4.51775 407
940 1.0274 5 4.50293 408
941 0.937081 364 4.39863 316
942 0.620826 248 4.35956 201
943 0.622153 356 4.0309 207
944 0.816448 7 4.36393 322
945 0.84686 4 3.86108 192
946 0.572742 0 3.89877 316
947 0.692926 369 4.11168 209
948 0.676563 368 3.4947 332
949 0.863109 371 3.80733 333
950 0.682545 364 3.43936 212
951 0.845217 363 3.50207 335
952 1.08139 363 3.85365 337
953 0.911496 365 5.21774 215
954 0.904931 364 4.24485 206
955 0.91401 359 4.07371 410
956 0.949978 358 4.33276 397
957 0.947096 357 3.95837 395
958 1.00689 356 4.23842 211
959 1.26432 358 4.14502 387
960 0.917302 360 4.32103 412
961 0.937084 359 4.21853 406
962 1.54522 363 4.63295 398
963 1.36793 365 4.7706 399
964 1.43326 361 4.36779 324
965 1.08402 362 5.23181 415
966 0.695455 362 4.37603 211
967 0.686541 279 4.18949 417
968 0.502475 8 3.66494 313
969 0.377827 7 4.09334 411
970 0.586964 7 4.08288 415
971 0.54686 358 4.19856 312
972 0.470632 14 4.11793 309
973 0.405091 138 3.68176 416
974 0.522066 354 4.44257 318
975 0.655704 355 4.82493 197
976 0.880204 356 4.852 322
977 0.775235 364 5.24212 323
978 0.873223 364 5.94535 326
979 0.816137 368 5.17733 405
980 0.917995 364 5.51373 218
981 0.763705 374 5.57302 332
982 0.974222 370 6.45378 214
983 0.764864 368 5.70106 219
984 0.878892 375 5.05375 422
985 0.802936 231 5.58664 226
986 0.665144 223 5.2207 314
987 0.747032 373 5.21261 422
988 0.68314 373 5.17228 419
989 0.616311 253 4.75703 204
990 0.738588 249 4.92703 420
991 0.851708 254 5.49419 423
992 0.645342 248 5.28548 422
993 0.626362 246 4.67425 197
994 0.721457 256 4.51578 420
995 0.611622 252 4.87036 420
996 0.502328 226 5.03197 208
997 0.473757 248 4.94627 214
998 0.676308 243 5.46904 428
999 0.796626 250 5.83141 207
