#Timestep Max1DUnsignedWrithe ArgMax1DUnsignedWrithe Max3DLocalWrithe ArgMax3DLocalWrithe 
196 0.672582 343 4.85071 348
197 0.523563 346 4.50685 353
198 0.546798 158 4.34799 339
199 0.609791 150 4.79203 343
200 0.487297 159 4.39692 149
201 0.560881 161 4.22601 346
202 0.686615 161 4.00123 347
203 0.780153 155 4.21 350
204 0.499098 154 3.671 340
205 0.450322 130 3.91095 132
206 0.446606 137 3.70285 335
207 0.45884 135 3.96881 129
208 0.420571 162 4.05462 337
209 0.517115 149 4.26755 136
210 0.517818 158 4.25231 349
211 0.536585 153 3.91795 346
212 0.469809 154 4.05932 130
213 0.464961 160 3.85801 336
214 0.472821 166 3.86889 335
215 0.516897 166 3.8716 132
216 0.48629 157 3.76411 343
217 0.680882 160 4.05793 131
218 0.703547 164 4.35213 340
219 0.601032 162 4.00944 338
220 0.763151 163 4.60266 159
221 0.583608 151 4.06024 147
222 0.592051 159 4.00272 336
223 0.558481 159 4.07206 342
224 0.510592 370 4.07343 168
225 0.610768 24 4.0964 159
226 0.571915 156 4.28018 168
227 0.746903 162 4.45626 162
228 0.582868 166 4.61978 166
229 0.633415 173 4.58445 163
230 0.611454 171 4.48647 154
231 0.616769 447 4.32586 162
232 0.566864 161 5.04268 160
233 0.720564 374 4.47884 160
234 1.16524 375 5.4308 152
235 1.30137 369 5.31239 153
236 1.02391 369 4.80132 154
237 0.817798 364 4.6262 382
238 0.744784 370 4.41603 357
239 0.632293 367 4.9062 166
240 0.63283 371 4.76213 170
241 0.754196 361 5.4115 163
242 0.938243 359 5.15778 166
243 1.09761 358 5.29862 335
244 0.675181 363 5.21943 160
245 0.910341 357 5.03929 348
246 1.01106 360 5.17069 351
247 0.910344 364 4.94009 169
248 1.14058 358 5.37088 339
249 1.22521 359 5.98629 338
250 1.24444 370 6.2217 169
251 1.70946 364 6.14691 166
252 1.61965 365 5.14678 389
253 1.68786 361 5.95117 347
254 2.06911 367 6.09817 392
255 1.71352 360 5.54262 168
256 1.33027 358 5.88638 166
257 1.26105 359 5.77368 162
258 1.44854 364 5.30997 161
259 1.16878 359 5.40532 395
260 1.48259 361 5.25789 401
261 1.38029 361 5.73121 402
262 1.88669 361 5.28093 335
263 1.66343 365 5.16034 391
264 1.94817 362 5.5324 336
265 1.68636 369 6.4573 330
266 1.6941 368 5.5674 355
267 1.8615 370 5.91305 364
268 1.60603 376 5.01905 402
269 1.47404 379 4.88167 364
270 1.57313 377 5.51378 156
271 1.54506 380 5.60552 360
272 1.75135 377 5.42201 360
273 1.42083 376 5.26573 357
274 1.08713 371 5.29224 355
275 1.6474 374 5.62925 357
276 1.4026 376 5.43621 355
277 1.04656 377 5.31627 355
278 0.733776 365 5.36375 351
279 1.1164 377 5.73232 356
280 0.948471 377 4.63793 360
281 0.930673 378 4.57534 169
282 1.15416 376 5.18187 360
283 1.50556 377 5.17943 364
284 1.62616 381 5.23813 365
285 0.985991 380 4.67983 167
286 0.939791 384 5.19416 159
287 1.03726 377 5.38004 358
288 1.23131 382 5.12575 157
289 1.33771 372 5.20681 347
290 1.17943 372 4.73478 354
291 1.58401 370 6.0431 357
292 1.17919 372 5.34891 150
293 1.42375 377 6.41017 152
294 1.28753 373 4.84181 159
295 1.36865 366 5.06662 394
296 1.48625 373 5.06098 331
297 0.907996 359 4.81276 388
298 1.46259 367 4.89517 390
299 1.88388 364 6.0254 383
300 1.46461 360 5.38779 347
301 1.74045 357 5.76355 342
302 1.53225 408 6.03157 372
303 1.47847 355 5.27562 335
304 1.32569 360 5.03236 385
305 1.31801 357 5.31983 152
306 1.34452 357 5.8809 332
307 0.875757 375 5.2167 336
308 0.945218 365 5.33408 337
309 1.05875 363 5.00893 335
310 0.940705 365 5.48034 340
311 1.06362 366 6.00241 340
312 1.27151 366 6.19413 340
313 0.906431 360 5.03633 331
314 0.96923 357 5.53429 160
315 1.27246 359 6.19873 361
316 1.54507 358 7.213 355
317 1.03098 352 7.0037 356
318 1.00993 350 5.40143 362
319 1.27335 356 5.56694 368
320 1.51631 354 5.30609 369
321 1.43353 355 5.25662 344
322 1.15413 356 4.67427 333
323 1.0858 355 4.92756 366
324 1.46561 355 6.15676 327
325 1.03673 351 5.2407 165
326 1.29103 349 4.98014 320
327 1.30757 351 5.42042 330
328 1.43309 357 5.47551 335
329 1.22471 354 5.7255 335
330 1.53457 356 6.28505 335
331 2.29859 353 7.8873 327
332 1.5983 348 7.35998 325
333 1.14556 362 6.02524 327
334 1.01594 355 4.99845 330
335 1.18701 351 5.42038 327
336 1.13317 358 4.83038 333
337 0.931587 364 5.97679 332
338 1.06837 368 5.84726 333
339 1.82091 373 5.95874 338
340 1.29418 367 6.01804 342
341 1.48076 366 5.31042 340
342 1.57333 353 6.27649 331
343 1.79662 359 6.58701 332
344 1.74947 357 5.79491 332
345 1.6799 363 5.54678 343
346 1.68105 362 5.82563 344
347 1.27732 365 5.2744 192
348 1.30789 362 5.04872 360
349 1.11435 361 5.35458 365
350 1.24489 362 4.8921 355
351 1.091 370 5.73707 358
352 0.844203 366 6.05351 196
353 0.998794 370 5.88337 193
354 1.01595 357 5.1312 356
355 1.05657 360 5.24017 360
356 1.53633 367 5.40419 348
357 1.36763 357 5.04834 341
358 1.27378 367 4.68847 348
359 1.15878 360 5.44767 349
360 1.28671 362 5.71144 367
361 1.73619 355 6.1806 352
362 1.06485 358 5.30326 366
363 0.869364 366 4.95251 354
364 1.35973 366 5.67294 352
365 1.55436 366 5.61049 346
366 1.25013 363 5.54607 353
367 1.49233 368 6.10451 363
368 1.34055 362 5.37192 353
369 1.24198 367 4.49024 346
370 1.70934 368 5.3409 348
371 1.62196 360 5.02635 336
372 1.552 361 5.4423 342
373 1.26936 362 4.6817 340
374 1.67889 364 5.19153 346
375 1.75442 368 5.03865 345
376 1.62468 363 5.38235 348
377 1.46757 365 4.89469 343
378 1.41442 360 5.32638 380
379 1.59243 365 4.88112 390
380 1.56346 363 4.88 336
381 1.56187 367 4.621 349
382 1.71894 364 5.77813 380
383 1.63261 369 5.65657 359
384 1.57728 360 5.4708 377
385 1.65697 372 5.68113 362
386 1.61686 375 5.6433 360
387 1.61863 369 5.74048 357
388 1.66539 368 6.19084 363
389 1.46511 377 5.67386 368
390 1.45287 378 5.95931 371
391 1.34398 372 5.42558 380
392 1.32596 370 5.55363 382
393 1.04551 376 5.63495 378
394 1.4163 374 6.27518 373
395 1.37562 378 6.28358 370
396 1.99925 384 6.99387 401
397 1.40758 385 6.59971 186
398 1.16703 377 6.11163 378
399 1.39325 382 5.38585 180
400 1.25105 389 6.01585 184
401 1.64884 382 5.37337 366
402 1.18195 383 6.61692 380
403 0.900848 381 5.62261 380
404 1.15193 383 5.3175 383
405 1.62276 385 5.74866 375
406 1.39338 388 5.59601 383
407 1.49178 389 6.11542 371
408 1.21277 391 5.30011 389
409 1.36863 384 5.41011 371
410 1.2791 381 5.12611 367
411 1.11196 255 5.51112 376
412 1.51411 382 6.32208 376
413 1.29988 374 6.38636 376
414 1.5637 373 6.07735 376
415 1.5398 367 6.00411 377
416 1.32008 373 5.52205 384
417 1.12839 377 5.07189 388
418 1.36555 386 5.42242 389
419 1.39391 383 5.41092 391
420 1.21207 379 5.11843 390
421 1.00051 385 5.51282 386
422 0.72933 384 5.24423 385
423 0.766156 390 6.24027 387
424 0.673567 358 5.65174 181
425 0.93812 371 6.12149 181
426 1.00423 255 5.47959 386
427 0.838599 387 5.96453 387
428 0.978643 384 5.81353 388
429 1.20107 383 6.54932 182
430 1.74967 395 5.64399 376
431 1.69282 394 5.72468 380
432 1.32914 390 5.18961 183
433 1.1713 386 5.04143 178
434 1.13076 388 5.10526 383
435 1.07768 388 5.25614 392
436 1.03819 384 5.29032 380
437 0.720833 384 5.4439 382
438 1.11377 381 5.51961 386
439 1.06504 385 5.62163 388
440 1.16765 383 5.6353 178
441 1.42569 379 5.88773 381
442 1.00356 381 5.61323 385
443 0.646307 237 4.88901 387
444 0.772835 383 5.29602 390
445 1.27667 388 6.82615 388
446 1.06221 396 5.49285 389
447 0.806636 233 5.43777 389
448 0.80274 225 6.08214 389
449 0.931038 380 5.94811 386
450 1.02031 390 6.16573 390
451 0.876295 399 6.26135 387
452 1.15043 390 6.77406 394
453 0.76664 386 5.72201 393
454 1.01195 262 5.68292 191
455 1.54547 376 5.49564 388
456 1.43016 383 5.35719 385
457 1.05231 384 5.28191 383
458 0.857621 381 5.69231 381
459 0.867376 380 5.97539 379
460 1.27019 387 5.35536 382
461 1.08793 383 5.38999 198
462 0.940214 380 5.46867 386
463 0.846811 391 5.37781 186
464 1.31433 384 5.86866 387
465 1.45965 386 6.42877 394
466 1.35813 391 5.90207 389
467 1.67219 384 6.64613 385
468 1.78261 281 5.74915 380
469 1.84105 385 5.88339 390
470 1.89017 382 5.89474 374
471 1.64251 377 5.59594 391
472 1.73321 388 5.344 390
473 2.08078 379 5.96653 388
474 1.88017 375 5.86074 362
475 1.62916 378 5.70368 386
476 1.44933 381 5.36989 384
477 1.07364 376 5.09969 384
478 1.10087 376 5.3925 383
479 1.05095 376 5.28349 391
480 1.14155 379 5.15034 391
481 1.15238 390 5.93308 386
482 0.97798 390 4.92871 387
