,Knot Type,Replica #,Colocalisation Fraction,Component,Representation
147,$2_1^2$,16,0.66,Chain 1,Local Density
156,$2_1^2$,17,0.5,Chain 1,Local Density
165,$2_1^2$,18,0.65,Chain 1,Local Density
174,$2_1^2$,19,0.44,Chain 1,Local Density
183,$2_1^2$,20,0.62,Chain 1,Local Density
192,$2_1^2$,21,0.42,Chain 1,Local Density
201,$2_1^2$,22,0.7,Chain 1,Local Density
210,$2_1^2$,23,0.46,Chain 1,Local Density
219,$2_1^2$,24,0.58,Chain 1,Local Density
228,$2_1^2$,25,0.59,Chain 1,Local Density
237,$2_1^2$,26,0.7,Chain 1,Local Density
246,$2_1^2$,27,0.55,Chain 1,Local Density
255,$2_1^2$,28,0.53,Chain 1,Local Density
264,$2_1^2$,29,0.36,Chain 1,Local Density
273,$2_1^2$,30,0.46,Chain 1,Local Density
282,$2_1^2$,31,0.36,Chain 1,Local Density


4,$2_1^2$,0,0.5,Chain 2,Local Density
13,$2_1^2$,1,0.55,Chain 2,Local Density
22,$2_1^2$,2,0.55,Chain 2,Local Density
31,$2_1^2$,3,0.55,Chain 2,Local Density
40,$2_1^2$,4,0.59,Chain 2,Local Density
49,$2_1^2$,5,0.57,Chain 2,Local Density
58,$2_1^2$,6,0.73,Chain 2,Local Density
67,$2_1^2$,7,0.83,Chain 2,Local Density
76,$2_1^2$,8,0.76,Chain 2,Local Density
85,$2_1^2$,9,0.6,Chain 2,Local Density
94,$2_1^2$,10,0.59,Chain 2,Local Density
103,$2_1^2$,11,0.54,Chain 2,Local Density
112,$2_1^2$,12,0.53,Chain 2,Local Density
121,$2_1^2$,13,0.65,Chain 2,Local Density
130,$2_1^2$,14,0.66,Chain 2,Local Density
139,$2_1^2$,15,0.51,Chain 2,Local Density
148,$2_1^2$,16,0.46,Chain 2,Local Density
157,$2_1^2$,17,0.69,Chain 2,Local Density
166,$2_1^2$,18,0.55,Chain 2,Local Density
175,$2_1^2$,19,0.61,Chain 2,Local Density
184,$2_1^2$,20,0.6,Chain 2,Local Density
193,$2_1^2$,21,0.7,Chain 2,Local Density
202,$2_1^2$,22,0.36,Chain 2,Local Density
211,$2_1^2$,23,0.61,Chain 2,Local Density
220,$2_1^2$,24,0.63,Chain 2,Local Density
229,$2_1^2$,25,0.62,Chain 2,Local Density
238,$2_1^2$,26,0.44,Chain 2,Local Density
247,$2_1^2$,27,0.7,Chain 2,Local Density
256,$2_1^2$,28,0.53,Chain 2,Local Density
265,$2_1^2$,29,0.64,Chain 2,Local Density
274,$2_1^2$,30,0.82,Chain 2,Local Density
283,$2_1^2$,31,0.59,Chain 2,Local Density


5,$2_1^2$,0,0.27,Link,Local Density
14,$2_1^2$,1,0.47,Link,Local Density
23,$2_1^2$,2,0.35,Link,Local Density
32,$2_1^2$,3,0.39,Link,Local Density
41,$2_1^2$,4,0.16,Link,Local Density
50,$2_1^2$,5,0.32,Link,Local Density
59,$2_1^2$,6,0.4,Link,Local Density
68,$2_1^2$,7,0.43,Link,Local Density
77,$2_1^2$,8,0.43,Link,Local Density
86,$2_1^2$,9,0.39,Link,Local Density
95,$2_1^2$,10,0.41,Link,Local Density
104,$2_1^2$,11,0.32,Link,Local Density
113,$2_1^2$,12,0.33,Link,Local Density
122,$2_1^2$,13,0.51,Link,Local Density
131,$2_1^2$,14,0.45,Link,Local Density
140,$2_1^2$,15,0.36,Link,Local Density
149,$2_1^2$,16,0.33,Link,Local Density
158,$2_1^2$,17,0.36,Link,Local Density
167,$2_1^2$,18,0.39,Link,Local Density
176,$2_1^2$,19,0.32,Link,Local Density
185,$2_1^2$,20,0.43,Link,Local Density
194,$2_1^2$,21,0.28,Link,Local Density
203,$2_1^2$,22,0.27,Link,Local Density
212,$2_1^2$,23,0.34,Link,Local Density
221,$2_1^2$,24,0.38,Link,Local Density
230,$2_1^2$,25,0.43,Link,Local Density
239,$2_1^2$,26,0.31,Link,Local Density
248,$2_1^2$,27,0.38,Link,Local Density
257,$2_1^2$,28,0.24,Link,Local Density
266,$2_1^2$,29,0.24,Link,Local Density
275,$2_1^2$,30,0.35,Link,Local Density
284,$2_1^2$,31,0.24,Link,Local Density


6,$2_1^2$,0,0.71,Chain 1,3D Writhe
15,$2_1^2$,1,0.89,Chain 1,3D Writhe
24,$2_1^2$,2,0.85,Chain 1,3D Writhe
33,$2_1^2$,3,0.71,Chain 1,3D Writhe
42,$2_1^2$,4,0.54,Chain 1,3D Writhe
51,$2_1^2$,5,0.65,Chain 1,3D Writhe
60,$2_1^2$,6,0.73,Chain 1,3D Writhe
69,$2_1^2$,7,0.72,Chain 1,3D Writhe
78,$2_1^2$,8,0.77,Chain 1,3D Writhe
87,$2_1^2$,9,0.83,Chain 1,3D Writhe
96,$2_1^2$,10,0.8,Chain 1,3D Writhe
105,$2_1^2$,11,0.67,Chain 1,3D Writhe
114,$2_1^2$,12,0.65,Chain 1,3D Writhe
123,$2_1^2$,13,0.86,Chain 1,3D Writhe
132,$2_1^2$,14,0.75,Chain 1,3D Writhe
141,$2_1^2$,15,0.76,Chain 1,3D Writhe
150,$2_1^2$,16,0.88,Chain 1,3D Writhe
159,$2_1^2$,17,0.59,Chain 1,3D Writhe
168,$2_1^2$,18,0.77,Chain 1,3D Writhe
177,$2_1^2$,19,0.57,Chain 1,3D Writhe
186,$2_1^2$,20,0.73,Chain 1,3D Writhe
195,$2_1^2$,21,0.64,Chain 1,3D Writhe
204,$2_1^2$,22,0.85,Chain 1,3D Writhe
213,$2_1^2$,23,0.54,Chain 1,3D Writhe
222,$2_1^2$,24,0.76,Chain 1,3D Writhe
231,$2_1^2$,25,0.72,Chain 1,3D Writhe
240,$2_1^2$,26,0.77,Chain 1,3D Writhe
249,$2_1^2$,27,0.67,Chain 1,3D Writhe
258,$2_1^2$,28,0.71,Chain 1,3D Writhe
267,$2_1^2$,29,0.59,Chain 1,3D Writhe
276,$2_1^2$,30,0.62,Chain 1,3D Writhe
285,$2_1^2$,31,0.6,Chain 1,3D Writhe


7,$2_1^2$,0,0.71,Chain 2,3D Writhe
16,$2_1^2$,1,0.76,Chain 2,3D Writhe
25,$2_1^2$,2,0.84,Chain 2,3D Writhe
34,$2_1^2$,3,0.76,Chain 2,3D Writhe
43,$2_1^2$,4,0.8,Chain 2,3D Writhe
52,$2_1^2$,5,0.66,Chain 2,3D Writhe
61,$2_1^2$,6,0.89,Chain 2,3D Writhe
70,$2_1^2$,7,0.97,Chain 2,3D Writhe
79,$2_1^2$,8,0.87,Chain 2,3D Writhe
88,$2_1^2$,9,0.73,Chain 2,3D Writhe
97,$2_1^2$,10,0.76,Chain 2,3D Writhe
106,$2_1^2$,11,0.66,Chain 2,3D Writhe
115,$2_1^2$,12,0.61,Chain 2,3D Writhe
124,$2_1^2$,13,0.9,Chain 2,3D Writhe
133,$2_1^2$,14,0.83,Chain 2,3D Writhe
142,$2_1^2$,15,0.69,Chain 2,3D Writhe
151,$2_1^2$,16,0.72,Chain 2,3D Writhe
160,$2_1^2$,17,0.83,Chain 2,3D Writhe
169,$2_1^2$,18,0.67,Chain 2,3D Writhe
178,$2_1^2$,19,0.66,Chain 2,3D Writhe
187,$2_1^2$,20,0.71,Chain 2,3D Writhe
196,$2_1^2$,21,0.73,Chain 2,3D Writhe
205,$2_1^2$,22,0.48,Chain 2,3D Writhe
214,$2_1^2$,23,0.69,Chain 2,3D Writhe
223,$2_1^2$,24,0.88,Chain 2,3D Writhe
232,$2_1^2$,25,0.73,Chain 2,3D Writhe
241,$2_1^2$,26,0.61,Chain 2,3D Writhe
250,$2_1^2$,27,0.85,Chain 2,3D Writhe
259,$2_1^2$,28,0.81,Chain 2,3D Writhe
268,$2_1^2$,29,0.76,Chain 2,3D Writhe
277,$2_1^2$,30,0.88,Chain 2,3D Writhe
286,$2_1^2$,31,0.81,Chain 2,3D Writhe


8,$2_1^2$,0,0.49,Link,3D Writhe
17,$2_1^2$,1,0.7,Link,3D Writhe
26,$2_1^2$,2,0.76,Link,3D Writhe
35,$2_1^2$,3,0.6,Link,3D Writhe
44,$2_1^2$,4,0.46,Link,3D Writhe
53,$2_1^2$,5,0.46,Link,3D Writhe
62,$2_1^2$,6,0.68,Link,3D Writhe
71,$2_1^2$,7,0.7,Link,3D Writhe
80,$2_1^2$,8,0.67,Link,3D Writhe
89,$2_1^2$,9,0.62,Link,3D Writhe
98,$2_1^2$,10,0.61,Link,3D Writhe
107,$2_1^2$,11,0.48,Link,3D Writhe
116,$2_1^2$,12,0.45,Link,3D Writhe
125,$2_1^2$,13,0.78,Link,3D Writhe
134,$2_1^2$,14,0.63,Link,3D Writhe
143,$2_1^2$,15,0.54,Link,3D Writhe
152,$2_1^2$,16,0.67,Link,3D Writhe
161,$2_1^2$,17,0.48,Link,3D Writhe
170,$2_1^2$,18,0.54,Link,3D Writhe
179,$2_1^2$,19,0.43,Link,3D Writhe
188,$2_1^2$,20,0.55,Link,3D Writhe
197,$2_1^2$,21,0.51,Link,3D Writhe
206,$2_1^2$,22,0.42,Link,3D Writhe
215,$2_1^2$,23,0.44,Link,3D Writhe
224,$2_1^2$,24,0.69,Link,3D Writhe
233,$2_1^2$,25,0.54,Link,3D Writhe
242,$2_1^2$,26,0.47,Link,3D Writhe
251,$2_1^2$,27,0.54,Link,3D Writhe
260,$2_1^2$,28,0.6,Link,3D Writhe
269,$2_1^2$,29,0.52,Link,3D Writhe
278,$2_1^2$,30,0.57,Link,3D Writhe
287,$2_1^2$,31,0.5,Link,3D Writhe
