,Knot Type,Replica #,Correlation Fraction,Correlation Score,Representation
117,$5_1$,53,0.527558,1.552435941,Random Probability
118,$5_1$,54,0.623708,1.431759734,Random Probability
119,$5_1$,55,0.615952,1.474140842,Random Probability
120,$5_1$,56,0.632076,1.321043672,Random Probability
121,$5_1$,57,0.590018,1.208437709,Random Probability
122,$5_1$,58,0.660852,1.215098086,Random Probability
123,$5_1$,59,0.615976,1.142901671,Random Probability
124,$5_1$,60,0.643346,1.358522475,Random Probability
125,$5_1$,61,0.62568,1.403273239,Random Probability
126,$5_1$,62,0.603666,1.401437219,Random Probability
127,$5_1$,63,0.659612,1.1734171,Random Probability


128,$7_1$,0,0.709326,1.157436778,Random Probability
129,$7_1$,1,0.727424,1.185003519,Random Probability
130,$7_1$,2,0.725182,1.129371661,Random Probability
131,$7_1$,3,0.702726,1.273611621,Random Probability
132,$7_1$,4,0.643084,1.349745912,Random Probability
133,$7_1$,5,0.708078,1.27104641,Random Probability
134,$7_1$,6,0.685556,1.305509688,Random Probability
135,$7_1$,7,0.652876,1.344818924,Random Probability
136,$7_1$,8,0.740106,1.16469803,Random Probability
137,$7_1$,9,0.699728,1.277639311,Random Probability
138,$7_1$,10,0.721264,1.147984649,Random Probability
139,$7_1$,11,0.718334,1.282133381,Random Probability
140,$7_1$,12,0.708388,1.317074823,Random Probability
141,$7_1$,13,0.739252,1.198508763,Random Probability
142,$7_1$,14,0.710308,1.295212781,Random Probability
143,$7_1$,15,0.700896,1.286924166,Random Probability
144,$7_1$,16,0.725804,1.240004188,Random Probability
145,$7_1$,17,0.734102,1.273664968,Random Probability
146,$7_1$,18,0.653774,1.408743694,Random Probability
147,$7_1$,19,0.69118,1.291993403,Random Probability
148,$7_1$,20,0.668386,1.419838237,Random Probability
149,$7_1$,21,0.685324,1.244666756,Random Probability
150,$7_1$,22,0.673244,1.414048993,Random Probability
151,$7_1$,23,0.707004,1.236202341,Random Probability
152,$7_1$,24,0.701634,1.316925919,Random Probability
153,$7_1$,25,0.711986,1.254238145,Random Probability
154,$7_1$,26,0.74413,1.292784863,Random Probability
155,$7_1$,27,0.726826,1.133696373,Random Probability
156,$7_1$,28,0.711784,1.227900599,Random Probability
157,$7_1$,29,0.702436,1.26417211,Random Probability
158,$7_1$,30,0.61514,1.445199467,Random Probability
159,$7_1$,31,0.728754,1.252823312,Random Probability
160,$7_1$,32,0.622856,1.509177081,Random Probability
161,$7_1$,33,0.683738,1.303130731,Random Probability
162,$7_1$,34,0.694914,1.154099644,Random Probability
163,$7_1$,35,0.743388,1.253719457,Random Probability
164,$7_1$,36,0.667522,1.408193288,Random Probability
165,$7_1$,37,0.74214,1.249090468,Random Probability
166,$7_1$,38,0.674366,1.370175839,Random Probability
167,$7_1$,39,0.702522,1.160106018,Random Probability
168,$7_1$,40,0.713714,1.279223891,Random Probability
169,$7_1$,41,0.699124,1.320223594,Random Probability
170,$7_1$,42,0.675414,1.366569245,Random Probability
171,$7_1$,43,0.660668,1.421288756,Random Probability
172,$7_1$,44,0.703322,1.343623547,Random Probability
173,$7_1$,45,0.705714,1.3489884,Random Probability
174,$7_1$,46,0.710502,1.259672738,Random Probability
175,$7_1$,47,0.73611,1.215850892,Random Probability
176,$7_1$,48,0.713688,1.275066976,Random Probability
177,$7_1$,49,0.707266,1.338958751,Random Probability
178,$7_1$,50,0.681722,1.305517498,Random Probability
179,$7_1$,51,0.728974,1.310060441,Random Probability
180,$7_1$,52,0.718916,1.301960173,Random Probability
181,$7_1$,53,0.699858,1.244538178,Random Probability
182,$7_1$,54,0.706408,1.339169432,Random Probability
183,$7_1$,55,0.730982,1.276365218,Random Probability
184,$7_1$,56,0.640462,1.361517155,Random Probability
185,$7_1$,57,0.543186,1.590615369,Random Probability
186,$7_1$,58,0.64777,1.347700573,Random Probability
187,$7_1$,59,0.723952,1.132671779,Random Probability
188,$7_1$,60,0.659082,1.288155343,Random Probability
189,$7_1$,61,0.674954,1.336387369,Random Probability
190,$7_1$,62,0.69587,1.306278472,Random Probability
191,$7_1$,63,0.705028,1.197115576,Random Probability


192,$8_{19}$,0,0.64414,1.403421616,Random Probability
193,$8_{19}$,1,0.67508,1.299105291,Random Probability
194,$8_{19}$,2,0.64735,1.289874102,Random Probability
195,$8_{19}$,3,0.667852,1.302683828,Random Probability
196,$8_{19}$,4,0.722804,1.06667921,Random Probability
197,$8_{19}$,5,0.661834,1.420295724,Random Probability
198,$8_{19}$,6,0.670368,1.360446799,Random Probability
199,$8_{19}$,7,0.689548,1.27039742,Random Probability
200,$8_{19}$,8,0.707924,1.213407089,Random Probability
201,$8_{19}$,9,0.67406,1.284752099,Random Probability
202,$8_{19}$,10,0.695808,1.194294978,Random Probability
203,$8_{19}$,11,0.653152,1.30597472,Random Probability
204,$8_{19}$,12,0.704806,1.251408189,Random Probability
205,$8_{19}$,13,0.56526,1.661182465,Random Probability
206,$8_{19}$,14,0.65672,1.346083567,Random Probability
207,$8_{19}$,15,0.652648,1.343756512,Random Probability
208,$8_{19}$,16,0.64959,1.436290583,Random Probability
209,$8_{19}$,17,0.665126,1.318547162,Random Probability
210,$8_{19}$,18,0.674604,1.187363253,Random Probability
211,$8_{19}$,19,0.647268,1.41363392,Random Probability
212,$8_{19}$,20,0.689604,1.280445009,Random Probability
213,$8_{19}$,21,0.678838,1.110721557,Random Probability
214,$8_{19}$,22,0.687156,1.171495265,Random Probability
215,$8_{19}$,23,0.680484,1.259397723,Random Probability
216,$8_{19}$,24,0.65421,1.32526253,Random Probability
217,$8_{19}$,25,0.684316,1.337101573,Random Probability
218,$8_{19}$,26,0.706588,1.026057618,Random Probability
219,$8_{19}$,27,0.61829,1.382846237,Random Probability
220,$8_{19}$,28,0.656794,1.347454453,Random Probability
221,$8_{19}$,29,0.67115,1.318632198,Random Probability
222,$8_{19}$,30,0.72546,1.075179886,Random Probability
223,$8_{19}$,31,0.618378,1.47159181,Random Probability
224,$8_{19}$,32,0.576952,1.596319971,Random Probability
225,$8_{19}$,33,0.716852,1.174579969,Random Probability
226,$8_{19}$,34,0.634722,1.44315149,Random Probability
227,$8_{19}$,35,0.695126,1.169572135,Random Probability
228,$8_{19}$,36,0.686608,1.200102533,Random Probability
229,$8_{19}$,37,0.673624,1.31082028,Random Probability
230,$8_{19}$,38,0.676918,1.3502374,Random Probability
231,$8_{19}$,39,0.67139,1.341991987,Random Probability
232,$8_{19}$,40,0.701486,1.24735205,Random Probability
233,$8_{19}$,41,0.694728,1.301228682,Random Probability
234,$8_{19}$,42,0.655586,1.215706254,Random Probability
235,$8_{19}$,43,0.71994,1.148706837,Random Probability
236,$8_{19}$,44,0.65111,1.343858949,Random Probability
237,$8_{19}$,45,0.685458,1.288189794,Random Probability
238,$8_{19}$,46,0.664492,1.313785569,Random Probability
239,$8_{19}$,47,0.639986,1.33440419,Random Probability
240,$8_{19}$,48,0.65345,1.242635244,Random Probability
241,$8_{19}$,49,0.648608,1.268871183,Random Probability
242,$8_{19}$,50,0.5757,1.578947368,Random Probability
243,$8_{19}$,51,0.673478,1.376436944,Random Probability
244,$8_{19}$,52,0.700628,1.14754192,Random Probability
245,$8_{19}$,53,0.662658,1.44116573,Random Probability
246,$8_{19}$,54,0.65925,1.374288965,Random Probability
247,$8_{19}$,55,0.657454,1.352185856,Random Probability
